timestamp,class_id,score,x_min,y_min,x_max,y_max
2025-08-12T18:35:44.186708,2,0.414,1154,615,1217,647
2025-08-12T18:35:44.641701,-1,1.000,2013,290,2872,1010
2025-08-12T18:35:44.893374,-1,1.000,2026,298,2868,1004
2025-08-12T18:35:45.141260,-1,1.000,2026,297,2868,1003
2025-08-12T18:35:45.442940,-1,1.000,2010,281,2886,1015
2025-08-12T18:35:45.519588,2,0.634,721,893,787,965
2025-08-12T18:35:45.519737,2,0.388,819,1153,916,1278
2025-08-12T18:35:45.617197,-1,1.000,823,1159,924,1289
2025-08-12T18:35:45.685408,-1,1.000,823,1159,924,1289
2025-08-12T18:35:45.753517,-1,1.000,823,1159,924,1289
2025-08-12T18:35:45.821055,-1,1.000,823,1159,924,1289
2025-08-12T18:35:45.888513,2,0.609,725,903,794,972
2025-08-12T18:35:45.888668,2,0.421,838,1180,931,1299
2025-08-12T18:35:45.979998,-1,1.000,838,1180,931,1299
2025-08-12T18:35:46.047223,-1,1.000,838,1180,931,1299
2025-08-12T18:35:46.114449,-1,1.000,844,1186,941,1310
2025-08-12T18:35:46.181126,-1,1.000,842,1186,941,1312
2025-08-12T18:35:46.274687,2,0.622,727,907,798,982
2025-08-12T18:35:46.274823,2,0.456,840,1191,948,1325
2025-08-12T18:35:46.275171,4,0.440,2009,292,2871,1004
2025-08-12T18:35:46.727723,-1,1.000,2011,292,2873,1004
2025-08-12T18:35:47.014016,-1,1.000,2004,283,2883,1009
2025-08-12T18:35:47.289071,-1,1.000,2014,292,2876,1004
2025-08-12T18:35:47.572003,-1,1.000,2022,301,2867,999
2025-08-12T18:35:47.686066,2,0.652,843,1193,953,1330
2025-08-12T18:35:47.686218,2,0.609,731,910,799,979
2025-08-12T18:35:47.686331,4,0.528,2003,291,2871,1013
2025-08-12T18:35:47.686394,2,0.379,806,744,859,821
2025-08-12T18:35:47.686451,2,0.371,1136,619,1207,650
2025-08-12T18:35:48.241052,-1,1.000,2003,290,2871,1012
2025-08-12T18:35:48.538545,-1,1.000,2003,289,2871,1011
2025-08-12T18:35:48.874327,-1,1.000,1995,281,2880,1017
2025-08-12T18:35:49.150985,-1,1.000,1996,282,2881,1018
2025-08-12T18:35:49.266716,2,0.661,733,918,803,996
2025-08-12T18:35:49.266885,2,0.578,855,1223,969,1356
2025-08-12T18:35:49.267247,4,0.529,2010,291,2871,1001
2025-08-12T18:35:49.267320,2,0.526,801,739,857,822
2025-08-12T18:35:49.267391,2,0.388,1136,618,1205,651
2025-08-12T18:35:49.724065,-1,1.000,2010,290,2871,1000
2025-08-12T18:35:49.980642,-1,1.000,2004,282,2882,1006
2025-08-12T18:35:50.236866,-1,1.000,1998,281,2876,1005
2025-08-12T18:35:50.530115,-1,1.000,1987,270,2883,1009
2025-08-12T18:35:50.640747,2,0.666,739,924,807,1003
2025-08-12T18:35:50.640885,2,0.511,872,1237,983,1378
2025-08-12T18:35:50.641218,4,0.490,2035,290,2871,1001
2025-08-12T18:35:50.641283,2,0.482,1132,617,1201,650
2025-08-12T18:35:50.641348,2,0.352,795,739,858,821
2025-08-12T18:35:51.060903,-1,1.000,2036,289,2872,1000
2025-08-12T18:35:51.297567,-1,1.000,2039,289,2875,1000
2025-08-12T18:35:51.553436,-1,1.000,2031,279,2884,1004
2025-08-12T18:35:51.805008,-1,1.000,2029,281,2882,1006
2025-08-12T18:35:51.901055,2,0.579,739,936,816,1010
2025-08-12T18:35:51.901210,2,0.537,881,1258,993,1396
2025-08-12T18:35:52.003675,-1,1.000,882,1259,992,1394
2025-08-12T18:35:52.078569,-1,1.000,886,1265,1003,1409
2025-08-12T18:35:52.153238,-1,1.000,888,1268,1000,1406
2025-08-12T18:35:52.225337,-1,1.000,892,1276,1009,1420
2025-08-12T18:35:52.290738,2,0.569,742,938,821,1012
2025-08-12T18:35:52.390126,-1,1.000,742,938,821,1012
2025-08-12T18:35:52.461275,-1,1.000,744,942,825,1017
2025-08-12T18:35:52.533170,-1,1.000,743,942,825,1019
2025-08-12T18:35:52.602249,-1,1.000,744,943,823,1017
2025-08-12T18:35:52.694828,2,0.505,902,1283,1022,1435
2025-08-12T18:35:52.695000,2,0.504,747,940,823,1023
2025-08-12T18:35:52.790616,-1,1.000,916,1303,1036,1455
2025-08-12T18:35:52.863413,-1,1.000,914,1301,1039,1459
2025-08-12T18:35:52.933601,-1,1.000,914,1300,1041,1461
2025-08-12T18:35:53.003857,-1,1.000,920,1310,1050,1475
2025-08-12T18:35:53.097301,2,0.654,753,948,829,1033
2025-08-12T18:35:53.097456,2,0.528,914,1307,1041,1461
2025-08-12T18:35:53.097537,7,0.464,913,1308,1040,1457
2025-08-12T18:35:53.192377,-1,1.000,920,1319,1047,1473
2025-08-12T18:35:53.263245,-1,1.000,920,1318,1047,1472
2025-08-12T18:35:53.333268,-1,1.000,920,1318,1047,1472
2025-08-12T18:35:53.403022,-1,1.000,927,1328,1057,1485
2025-08-12T18:35:53.468696,2,0.749,755,957,830,1039
2025-08-12T18:35:53.468861,2,0.693,924,1330,1054,1488
2025-08-12T18:35:53.469221,4,0.414,2031,289,2871,1007
2025-08-12T18:35:53.890591,-1,1.000,2031,287,2871,1005
2025-08-12T18:35:54.136311,-1,1.000,2038,291,2862,995
2025-08-12T18:35:54.370177,-1,1.000,2039,288,2863,992
2025-08-12T18:35:54.614752,-1,1.000,2037,288,2861,992
2025-08-12T18:35:54.696609,2,0.615,759,968,834,1044
2025-08-12T18:35:54.696784,2,0.486,935,1348,1074,1517
2025-08-12T18:35:54.696912,4,0.452,2038,289,2871,1006
2025-08-12T18:35:55.109633,-1,1.000,2031,280,2881,1011
2025-08-12T18:35:55.341322,-1,1.000,2060,306,2861,995
2025-08-12T18:35:55.574708,-1,1.000,2060,297,2861,986
2025-08-12T18:35:55.832315,-1,1.000,2050,282,2883,999
2025-08-12T18:35:55.904127,2,0.527,765,977,849,1058
2025-08-12T18:35:55.904287,2,0.524,951,1370,1091,1535
2025-08-12T18:35:55.999237,-1,1.000,959,1383,1099,1548
2025-08-12T18:35:56.068409,-1,1.000,959,1382,1099,1547
2025-08-12T18:35:56.140893,-1,1.000,959,1382,1099,1547
2025-08-12T18:35:56.212145,-1,1.000,959,1382,1099,1547
2025-08-12T18:35:56.278356,2,0.660,969,1404,1113,1574
2025-08-12T18:35:56.278507,2,0.462,771,985,855,1072
2025-08-12T18:35:56.378110,-1,1.000,969,1404,1113,1574
2025-08-12T18:35:56.448161,-1,1.000,969,1404,1113,1574
2025-08-12T18:35:56.518879,-1,1.000,977,1416,1124,1589
2025-08-12T18:35:56.590013,-1,1.000,977,1418,1121,1588
2025-08-12T18:35:56.661866,2,0.476,987,1427,1134,1610
2025-08-12T18:35:56.662041,2,0.414,774,994,860,1078
2025-08-12T18:35:56.759084,-1,1.000,987,1427,1134,1610
2025-08-12T18:35:56.831198,-1,1.000,987,1428,1134,1611
2025-08-12T18:35:56.901852,-1,1.000,994,1437,1147,1627
2025-08-12T18:35:56.972190,-1,1.000,995,1439,1145,1626
2025-08-12T18:35:57.036306,2,0.607,778,997,862,1088
2025-08-12T18:35:57.036458,2,0.415,990,1440,1144,1612
2025-08-12T18:35:57.036540,2,0.405,993,618,1067,654
2025-08-12T18:35:57.136063,-1,1.000,990,1441,1144,1613
2025-08-12T18:35:57.207758,-1,1.000,1007,1466,1161,1638
2025-08-12T18:35:57.280248,-1,1.000,1006,1465,1163,1640
2025-08-12T18:35:57.351047,-1,1.000,1007,1466,1164,1641
2025-08-12T18:35:57.420627,2,0.444,783,1009,866,1114
2025-08-12T18:35:57.420760,2,0.392,991,617,1062,653
2025-08-12T18:35:57.509944,-1,1.000,783,1009,866,1114
2025-08-12T18:35:57.578044,-1,1.000,785,1012,871,1121
2025-08-12T18:35:57.646531,-1,1.000,786,1013,871,1120
2025-08-12T18:35:57.713197,-1,1.000,786,1014,869,1119
2025-08-12T18:35:57.778161,2,0.637,788,1017,869,1114
2025-08-12T18:35:57.869196,-1,1.000,788,1017,869,1114
2025-08-12T18:35:57.935850,-1,1.000,787,1016,871,1117
2025-08-12T18:35:58.002650,-1,1.000,788,1017,871,1116
2025-08-12T18:35:58.068734,-1,1.000,793,1026,874,1123
2025-08-12T18:35:58.195018,-1,1.000,793,1026,874,1123
2025-08-12T18:35:58.266115,-1,1.000,795,1030,878,1129
2025-08-12T18:35:58.336602,-1,1.000,795,1031,876,1128
2025-08-12T18:35:58.403315,-1,1.000,797,1035,876,1130
2025-08-12T18:35:58.525605,2,0.351,800,1033,892,1135
2025-08-12T18:35:58.615438,-1,1.000,800,1033,892,1135
2025-08-12T18:35:58.681771,-1,1.000,803,1037,895,1139
2025-08-12T18:35:58.748193,-1,1.000,802,1036,896,1140
2025-08-12T18:35:58.814973,-1,1.000,803,1037,897,1141
2025-08-12T18:35:58.887353,2,0.380,798,1036,892,1141
2025-08-12T18:35:58.887482,2,0.363,986,617,1058,655
2025-08-12T18:35:58.887588,4,0.353,2013,287,2871,1008
2025-08-12T18:35:59.399572,-1,1.000,2015,285,2873,1006
2025-08-12T18:35:59.684873,-1,1.000,2007,277,2882,1012
2025-08-12T18:35:59.955883,-1,1.000,2007,276,2882,1011
2025-08-12T18:36:00.235413,-1,1.000,2006,278,2881,1013
2025-08-12T18:36:00.322203,2,0.459,803,1053,898,1155
2025-08-12T18:36:00.322343,2,0.378,987,617,1053,655
2025-08-12T18:36:00.322676,2,0.361,570,730,623,825
2025-08-12T18:36:00.415817,-1,1.000,805,1057,904,1163
2025-08-12T18:36:00.481654,-1,1.000,805,1057,904,1163
2025-08-12T18:36:00.546764,-1,1.000,805,1057,904,1163
2025-08-12T18:36:00.613952,-1,1.000,808,1061,907,1167
2025-08-12T18:36:00.710018,2,0.369,807,1063,905,1167
2025-08-12T18:36:00.710151,2,0.351,987,617,1053,653
2025-08-12T18:36:00.798573,-1,1.000,807,1063,905,1167
2025-08-12T18:36:00.864624,-1,1.000,807,1064,905,1168
2025-08-12T18:36:00.931063,-1,1.000,813,1072,913,1178
2025-08-12T18:36:00.998643,-1,1.000,812,1072,914,1180
2025-08-12T18:36:01.062597,2,0.535,818,1073,910,1172
2025-08-12T18:36:01.152203,-1,1.000,822,1081,909,1174
2025-08-12T18:36:01.217400,-1,1.000,823,1079,911,1174
2025-08-12T18:36:01.282655,-1,1.000,825,1084,917,1183
2025-08-12T18:36:01.348488,-1,1.000,823,1083,917,1184
2025-08-12T18:36:01.413395,2,0.501,986,614,1058,654
2025-08-12T18:36:01.413535,2,0.495,826,1081,914,1179
2025-08-12T18:36:01.413828,2,0.387,1111,620,1181,650
2025-08-12T18:36:01.504497,-1,1.000,829,1086,917,1184
2025-08-12T18:36:01.572292,-1,1.000,829,1087,917,1185
2025-08-12T18:36:01.640549,-1,1.000,831,1089,916,1183
2025-08-12T18:36:01.710714,-1,1.000,830,1087,918,1185
2025-08-12T18:36:01.776190,2,0.498,832,1096,924,1201
2025-08-12T18:36:01.776335,2,0.436,985,614,1054,653
2025-08-12T18:36:01.776643,2,0.388,1110,620,1181,651
2025-08-12T18:36:01.866774,-1,1.000,832,1096,924,1201
2025-08-12T18:36:01.931857,-1,1.000,832,1096,924,1201
2025-08-12T18:36:01.997552,-1,1.000,835,1102,925,1205
2025-08-12T18:36:02.063922,-1,1.000,835,1101,927,1206
2025-08-12T18:36:02.129836,2,0.530,838,1104,930,1212
2025-08-12T18:36:02.129970,2,0.523,1370,607,1439,640
2025-08-12T18:36:02.130035,2,0.455,1107,621,1179,651
2025-08-12T18:36:02.130096,2,0.395,986,615,1055,654
2025-08-12T18:36:02.218388,-1,1.000,838,1104,930,1212
2025-08-12T18:36:02.284078,-1,1.000,838,1104,930,1212
2025-08-12T18:36:02.349894,-1,1.000,841,1110,933,1218
2025-08-12T18:36:02.415231,-1,1.000,841,1110,933,1218
2025-08-12T18:36:02.480505,2,0.597,839,1116,934,1217
2025-08-12T18:36:02.480676,2,0.498,1369,607,1439,640
2025-08-12T18:36:02.480984,2,0.460,1106,620,1180,652
2025-08-12T18:36:02.481055,2,0.398,985,616,1055,656
2025-08-12T18:36:02.570285,-1,1.000,839,1116,934,1217
2025-08-12T18:36:02.637930,-1,1.000,844,1126,943,1231
2025-08-12T18:36:02.716709,-1,1.000,844,1126,943,1231
2025-08-12T18:36:02.799655,-1,1.000,844,1126,943,1231
2025-08-12T18:36:02.871006,2,0.619,850,1123,945,1239
2025-08-12T18:36:02.871480,2,0.447,1105,619,1179,652
2025-08-12T18:36:02.871551,2,0.398,1368,606,1437,640
